1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Luiz Felipe Moura,54,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 5.036,13","R$ 956,86",Ônibus,Diesel,1911,Diária,Descontos e promoções,Não considero relevante,Combustível com qualidade,Mais terminais Banco24h,Ruim,Carteira Digital (diversas opções de pagamento),Diária,Design do aplicativo
Pedro Lucas Cardoso,27,Masculino Cisgênero,Amarelo(a),Não,Solteiro(a),Ensino Superior Completo,Santos,SP,"R$ 3.561,69","R$ 979,46",Carro,Álcool,4858,Eventual,Preço,Não considero relevante,Combustível com qualidade,Mais terminais Banco24h,Regular,Carteira Digital (diversas opções de pagamento),Mensal,Design do aplicativo
Davi Lucas Martins,29,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Pós-graduação,São Paulo,SP,"R$ 5.386,11","R$ 1.023,36",Moto,Gasolina,3027,Quinzenal,Descontos e promoções,Influencia minhas escolhas,Combustível com qualidade,Mais terminais Banco24h,Bom,Carteira Digital (diversas opções de pagamento),Eventual,Design do aplicativo
Stella Pires,40,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Completo,Londrina,PR,"R$ 9.265,01","R$ 1.575,05",Ônibus,Diesel,1717,Quinzenal,Localização,Não influencia minhas escolhas,Atendimento,Mais terminais Banco24h,Regular,Carteira Digital (diversas opções de pagamento),Semanal,Design do aplicativo
Vinicius Azevedo,22,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Completo,São João de Meriti,RJ,"R$ 8.062,27","R$ 1.410,90",Ônibus,Diesel,1236,Eventual,Combustível com qualidade,Não considero relevante,Combustível com qualidade,Mais terminais Banco24h,Excelente,Carteira Digital (diversas opções de pagamento),Diária,Design do aplicativo
Maria Fernanda Moraes,79,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Incompleto,Nova Iguaçu,RJ,"R$ 8.714,39","R$ 1.481,45",Caminhão,Diesel,2306,Quinzenal,Combustível com qualidade,Fator de decisão,Higiene,Mais terminais Banco24h,Bom,Carteira Digital (diversas opções de pagamento),Eventual,Design do aplicativo
Maria Clara da Conceição,48,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,Porto Velho,RO,"R$ 9.275,16","R$ 1.576,78",Caminhão,Diesel,3670,Mensal,Localização,Não influencia minhas escolhas,Segurança,Mais terminais Banco24h,Bom,Carteira Digital (diversas opções de pagamento),Eventual,Design do aplicativo
Ana Laura Silveira,59,Feminino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,AL,"R$ 3.847,60","R$ 1.058,09",Ônibus,Diesel,1614,Diária,Combustível com qualidade,Não considero relevante,Acessibilidade,Mais terminais Banco24h,Ruim,Carteira Digital (diversas opções de pagamento),Semanal,Design do aplicativo
Alice Gomes,39,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Palmas,TO,"R$ 6.881,30","R$ 1.238,63",Moto,Gasolina,1787,Diária,Descontos e promoções,Não influencia minhas escolhas,Combustível com qualidade,Mais terminais Banco24h,Excelente,Carteira Digital (diversas opções de pagamento),Mensal,Design do aplicativo
Luiz Fernando Souza,54,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Incompleto,Campinas,SP,"R$ 2.216,11","R$ 443,22",Moto,Gasolina,1825,Diária,Descontos e promoções,Não considero relevante,Banco24h,Mais opções de pagamento,Excelente,Carteira Digital (diversas opções de pagamento),Eventual,Design do aplicativo
Ana Luiza Fogaça,68,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Caruaru,PE,"R$ 4.535,26","R$ 907,05",Caminhão,Diesel,2822,Mensal,Combustível com qualidade,Não considero relevante,Preços,Mais opções de pagamento,Excelente,Carteira Digital (diversas opções de pagamento),Mensal,Design do aplicativo
Stephany Jesus,41,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Superior Completo,Manaus,AM,"R$ 6.403,32","R$ 1.152,60",Ônibus,Diesel,2176,Semanal,Descontos e promoções,Influencia minhas escolhas,Localização,Mais opções de pagamento,Bom,Carteira Digital (diversas opções de pagamento),Quinzenal,Design do aplicativo
Vicente Caldeira,42,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Superior Incompleto,São Bernardo do Campo,SP,"R$ 7.307,30","R$ 1.278,78",Caminhão,Diesel,2016,Mensal,Descontos e promoções,Influencia minhas escolhas,Serviços adicionais,Mais opções de pagamento,Bom,Carteira Digital (diversas opções de pagamento),Eventual,Design do aplicativo
Nicole Lima,27,Feminino Transgênero,Pardo(a),Sim,Solteiro(a),Pós-graduação,Recife,PE,"R$ 9.907,69","R$ 1.684,31",Caminhonete,Diesel,2098,Semanal,Localização,Influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Ruim,Carteira Digital (diversas opções de pagamento),Diária,Design do aplicativo
Manuela Fernandes,77,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Incompleto,Recife,PE,"R$ 6.677,96","R$ 1.202,03",Ônibus,Diesel,4883,Diária,Localização,Influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Regular,Carteira Digital (diversas opções de pagamento),Eventual,Design do aplicativo
Amanda Carvalho,27,Feminino Transgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 4.205,75","R$ 841,15",Moto,Gasolina,1364,Mensal,Descontos e promoções,Influencia minhas escolhas,Serviços adicionais,Mais opções de pagamento,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Nicole Monteiro,50,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Pós-graduação,Maceió,AL,"R$ 9.134,11","R$ 1.552,80",Caminhão,Diesel,284,Mensal,Combustível com qualidade,Influencia minhas escolhas,Localização,Mais opções de pagamento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Bruna da Cunha,71,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Incompleto,Goiânia,GO,"R$ 2.139,80","R$ 427,96",Carro,Gasolina,649,Quinzenal,Combustível com qualidade,Fator de decisão,Lojas de Conveniência,Mais opções de produtos nas lojas de conveniência,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
Fernanda Mendes,51,Feminino Cisgênero,Indígena,Sim,Casado(a),Ensino Médio Completo,Uberlândia,MG,"R$ 6.679,12","R$ 1.202,24",Caminhonete,Diesel,2710,Semanal,Combustível com qualidade,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Muito Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Maria Cecília Pires,39,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Incompleto,Piracicaba,SP,"R$ 9.469,14","R$ 1.609,75",Carro,Álcool,4257,Quinzenal,Descontos e promoções,Influencia minhas escolhas,Localização,Mais opções de produtos nas lojas de conveniência,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Design do aplicativo
Clara Teixeira,63,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,Duque de Caxias,RJ,"R$ 3.145,40","R$ 864,99",Caminhonete,Diesel,2811,Quinzenal,Descontos e promoções,Não considero relevante,Localização,Mais opções de produtos nas lojas de conveniência,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Cauã Nogueira,51,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Pós-graduação,Porto Velho,RO,"R$ 7.735,15","R$ 1.353,65",Moto,Gasolina,3946,Quinzenal,Preço,Não considero relevante,Localização,Mais opções de produtos nas lojas de conveniência,Muito Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
Isabelly Moraes,51,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Médio Completo,Jundiaí,SP,"R$ 3.435,23","R$ 944,69",Carro,GNV,265,Semanal,Preço,Fator de decisão,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Kevin Ribeiro,54,Masculino Cisgênero,Indígena,Sim,Casado(a),Ensino Médio Completo,Belém do Pará,PA,"R$ 4.285,06","R$ 857,01",Moto,Gasolina,4307,Diária,Combustível com qualidade,Influencia minhas escolhas,Banco24h,Mais opções de produtos nas lojas de conveniência,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
João Silveira,74,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Básico Completo,Contagem,MG,"R$ 3.667,24","R$ 1.008,49",Ônibus,Diesel,4908,Quinzenal,Localização,Fator de decisão,Acessibilidade,Mais opções de produtos nas lojas de conveniência,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
Sophia Cardoso,48,Feminino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Básico Incompleto,Fortaleza,CE,"R$ 1.920,67","R$ 384,13",Ônibus,Diesel,520,Diária,Descontos e promoções,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
Bianca Rosa,30,Feminino Transgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Florianópolis,SC,"R$ 8.350,27","R$ 1.419,55",Caminhão,Diesel,3296,Mensal,Localização,Não considero relevante,Preços,Mais opções de produtos nas lojas de conveniência,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Maria Fernanda Fogaça,29,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Incompleto,Vitória,ES,"R$ 5.212,31","R$ 990,34",Caminhão,Diesel,3556,Mensal,Combustível com qualidade,Não influencia minhas escolhas,Serviços adicionais,Mais opções de produtos nas lojas de conveniência,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Design do aplicativo
Maysa Peixoto,20,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Maringá,PR,"R$ 5.989,10","R$ 1.137,93",Carro,Álcool,4355,Diária,Combustível com qualidade,Fator de decisão,Serviços adicionais,Mais opções de produtos nas lojas de conveniência,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
Ryan da Costa,67,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Médio Completo,Fortaleza,CE,"R$ 7.900,40","R$ 1.382,57",Carro,Gasolina,2812,Quinzenal,Localização,Não considero relevante,Serviços adicionais,Mais opções de produtos nas lojas de conveniência,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Olivia Peixoto,43,Feminino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 2.694,44","R$ 673,61",Caminhão,Diesel,1701,Mensal,Combustível com qualidade,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Joaquim Ferreira,22,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Médio Completo,Curitiba,PR,"R$ 3.733,66","R$ 1.026,76",Caminhonete,Diesel,1211,Semanal,Combustível com qualidade,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Vitor Gabriel Pinto,28,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 2.240,12","R$ 448,02",Ônibus,Diesel,2821,Diária,Combustível com qualidade,Não influencia minhas escolhas,Acessibilidade,Mais opções de produtos nas lojas de conveniência,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Carlos Eduardo Ribeiro,66,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,Duque de Caxias,RJ,"R$ 9.704,44","R$ 1.649,75",Ônibus,Diesel,3790,Diária,Preço,Influencia minhas escolhas,Localização,Mais opções de produtos nas lojas de conveniência,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
Maria Cecília Pereira,62,Feminino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Básico Completo,Taubaté ,SP,"R$ 3.508,29","R$ 964,78",Carro,Gasolina,4688,Diária,Combustível com qualidade,Não considero relevante,Preços,Mais opções de serviços adicionais nos postos de combustível,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Luana Porto,24,Feminino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Básico Completo,Rio Branco ,AC,"R$ 2.973,79","R$ 743,45",Moto,Gasolina,117,Mensal,Localização,Influencia minhas escolhas,Combustível com qualidade,Mais opções de serviços adicionais nos postos de combustível,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Quinzenal,Design do aplicativo
Valentina Jesus,24,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Vila Velha,ES,"R$ 4.863,63","R$ 924,09",Moto,Gasolina,2517,Quinzenal,Preço,Não considero relevante,Serviços adicionais,Mais opções de serviços adicionais nos postos de combustível,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
Bryan Fernandes,78,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,Belo Horizonte,SC,"R$ 2.857,14","R$ 714,29",Caminhão,Diesel,4520,Mensal,Descontos e promoções,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de serviços adicionais nos postos de combustível,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
Bárbara Jesus,40, Feminino Transgênero,Preto(a),Não,Divorciado(a),Ensino Básico Incompleto,Salvador,BA,"R$ 3.746,95","R$ 1.030,41",Ônibus,Diesel,4772,Quinzenal,Localização,Fator de decisão,Preços,Mais opções de serviços adicionais nos postos de combustível,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Lucas Gabriel Costela,55,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Pós-graduação,Natal,RN,"R$ 3.762,40","R$ 1.034,66",Carro,Álcool,1439,Mensal,Preço,Fator de decisão,Serviços adicionais,Mais opções de serviços adicionais nos postos de combustível,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Design do aplicativo
Carlos Eduardo Gonçalves,20,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 5.606,76","R$ 1.065,28",Caminhão,Diesel,261,Quinzenal,Preço,Não considero relevante,Localização,Mais segurança nos postos de abastecimento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Laura Novaes,34,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Incompleto,Montes Claros,MG,"R$ 6.807,11","R$ 1.225,28",Ônibus,Diesel,3683,Mensal,Localização,Não influencia minhas escolhas,Localização,Mais segurança nos postos de abastecimento,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Caroline Santos,66,Feminino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Completo,Montes Claros,MG,"R$ 6.315,80","R$ 1.136,84",Moto,Gasolina,863,Semanal,Preço,Não considero relevante,Combustível com qualidade,Mais segurança nos postos de abastecimento,Muito Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Pedro Pereira,61,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Incompleto,São Luís,CE,"R$ 7.048,72","R$ 1.233,53",Moto,Gasolina,2649,Mensal,Localização,Fator de decisão,Combustível com qualidade,Mais segurança nos postos de abastecimento,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Design do aplicativo
Mariana Castro,54,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Incompleto,Piracicaba,SP,"R$ 7.516,46","R$ 1.315,38",Moto,Gasolina,229,Mensal,Localização,Influencia minhas escolhas,Combustível com qualidade,Mais segurança nos postos de abastecimento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Design do aplicativo
João da Mata,35,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Superior Completo,Santarém ,PA,"R$ 7.106,63","R$ 1.243,66",Ônibus,Diesel,2554,Mensal,Descontos e promoções,Não considero relevante,Localização,Mais segurança nos postos de abastecimento,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Juliana Rocha,75,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 8.583,64","R$ 1.459,22",Moto,Gasolina,2805,Mensal,Localização,Fator de decisão,Localização,Mais segurança nos postos de abastecimento,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Bárbara Silva,25,Feminino Transgênero,Branco(a),Não,Viúvo(a),Ensino Médio Completo,Caruaru,PE,"R$ 6.315,73","R$ 1.136,83",Carro,GNV,3455,Quinzenal,Localização,Fator de decisão,Combustível com qualidade,Mais segurança nos postos de abastecimento,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Design do aplicativo
Vitor Hugo Silva,55,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 7.407,33","R$ 1.296,28",Caminhão,Diesel,2098,Mensal,Combustível com qualidade,Não considero relevante,Preços,Mais segurança nos postos de abastecimento,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Maria Cecília Campos,25,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,São José do Rio Preto,SP,"R$ 7.869,06","R$ 1.377,09",Caminhão,Diesel,449,Mensal,Localização,Não considero relevante,Combustível com qualidade,Mais segurança nos postos de abastecimento,Muito Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Design do aplicativo
Rafaela Carvalho,70,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Completo,Minas Gerais,MG,"R$ 2.358,95","R$ 471,79",Ônibus,Diesel,4079,Mensal,Descontos e promoções,Não influencia minhas escolhas,Preços,Mais atendentes nos postos de abastecimento,Excelente,Cashback,Semanal,Design do aplicativo
Alícia Nogueira,18,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Básico Completo,Belém do Pará,PA,"R$ 1.454,19","R$ 290,84",Moto,Gasolina,1167,Semanal,Combustível com qualidade,Influencia minhas escolhas,Lojas de Conveniência,Mais atendentes nos postos de abastecimento,Regular,Cashback,Semanal,Design do aplicativo
André Mendes,23,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Básico Incompleto,Rio de Janeiro,AL,"R$ 2.090,88","R$ 418,18",Carro,GNV,3174,Semanal,Localização,Fator de decisão,Descontos e promoções,Mais atendentes nos postos de abastecimento,Bom,Cashback,Quinzenal,Design do aplicativo
Leonardo Vieira,32,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,Caxias do Sul,RS,"R$ 2.520,80","R$ 630,20",Moto,Gasolina,4314,Mensal,Combustível com qualidade,Fator de decisão,Combustível com qualidade,Mais atendentes nas lojas de conveniência,Regular,Cashback,Eventual,Design do aplicativo
Maitê Jesus,80,Feminino Cisgênero,Pardo(a),Sim,Casado(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 2.521,52","R$ 630,38",Moto,Gasolina,820,Mensal,Preço,Não considero relevante,Banco24h,Mais atendentes nas lojas de conveniência,Bom,Cashback,Mensal,Design do aplicativo
Clarice Nascimento,42,Feminino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Completo,São Bernardo do Campo,SP,"R$ 6.351,43","R$ 1.143,26",Moto,Gasolina,852,Quinzenal,Preço,Fator de decisão,Localização,Mais atendentes nas lojas de conveniência,Regular,Cashback,Diária,Design do aplicativo
Bárbara Oliveira,60, Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,Campo Grande,MS,"R$ 5.851,49","R$ 1.111,78",Caminhão,Diesel,3817,Semanal,Combustível com qualidade,Influencia minhas escolhas,Preços,Mais atendentes nas lojas de conveniência,Bom,Cashback,Quinzenal,Design do aplicativo
Clarice Barbosa,47,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Básico Completo,Campinas,SP,"R$ 1.749,63","R$ 349,93",Moto,Gasolina,468,Diária,Localização,Influencia minhas escolhas,Lojas de Conveniência,Mais terminais Banco24h,Bom,Cashback,Quinzenal,Design do aplicativo
Bryan Pereira,45,Masculino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Médio Incompleto,Pelotas,RS,"R$ 6.209,63","R$ 1.117,73",Caminhonete,Diesel,398,Quinzenal,Descontos e promoções,Não considero relevante,Preços,Mais terminais Banco24h,Bom,Cashback,Mensal,Design do aplicativo
Heitor da Conceição,41,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,Uberlândia,MG,"R$ 2.363,76","R$ 472,75",Carro,Álcool,2013,Quinzenal,Localização,Não influencia minhas escolhas,Banco24h,Mais bombas de auto-atendimento,Bom,Cashback,Mensal,Design do aplicativo
Emanuelly Pires,70,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,Vila Velha,ES,"R$ 4.827,76","R$ 917,27",Ônibus,Diesel,3518,Quinzenal,Preço,Influencia minhas escolhas,Localização,Mais bombas de auto-atendimento,Regular,Cashback,Diária,Design do aplicativo
Maria Cecília Ramos,30,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,Jundiaí,SP,"R$ 3.525,60","R$ 969,54",Moto,Gasolina,452,Mensal,Preço,Não influencia minhas escolhas,Localização,Mais opções de pagamento,Excelente,Cashback,Eventual,Design do aplicativo
Camila da Paz,60,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Incompleto,Caruaru,PE,"R$ 6.503,49","R$ 1.170,63",Caminhão,Diesel,3630,Semanal,Localização,Fator de decisão,Preços,Mais opções de pagamento,Excelente,Cashback,Eventual,Design do aplicativo
Anthony Viana,70,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Incompleto,Montes Claros,MG,"R$ 2.225,96","R$ 445,19",Carro,Gasolina,1360,Semanal,Combustível com qualidade,Não considero relevante,Combustível com qualidade,Mais opções de pagamento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Eventual,Design do aplicativo
Henrique Oliveira,79,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 4.549,15","R$ 909,83",Ônibus,Diesel,2915,Mensal,Preço,Influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Regular,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Design do aplicativo
