1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
João Felipe Pinto,Feminino,72,Duarte do Campo,PA,Divorciado(a),Ensino Médio Completo,"R$ 3.815,28",Ônibus,Diesel,3456,Maior facilidade de uso,Segurança,Serviços adicionais,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Localização,Semanalmente,Facilidade,Ótimo
Lívia da Rosa,Masculino,26,da Conceição,MA,Viúvo(a),Ensino Superior Completo,"R$ 9.049,61",Carro,Álcool,147,Mais funcionalidades,Combustível de qualidade,Serviços adicionais,Postos mais modernos,Não considero importante,Mensalmente,Formas de Pagamento,Mensalmente,Facilidade,Ruim
Maitê Nascimento,Feminino,58,Souza do Norte,PA,Solteiro(a),Ensino Médio Incompleto,"R$ 8.496,93",Ônibus,Diesel,3355,Maior facilidade de uso,Combustível de qualidade,Preço,Postos mais modernos,Não considero importante,Raramente,Localização,Semanalmente,Ambiental,Ruim
Valentina Gomes,Feminino,35,Fernandes Grande,PB,Viúvo(a),Pós-graduação,"R$ 3.470,40",Caminhão,Diesel,2812,Maior facilidade de uso,Atendimento ao cliente,Preço,Postos mais modernos,Importante e influencia minha escolha,Raramente,Qualidade Combustível,Semanalmente,Economia,Excelente
Sofia Barbosa,Feminino,26,Teixeira da Praia,RJ,Solteiro(a),Ensino Superior Completo,"R$ 7.584,71",Caminhão,Diesel,812,Ofertas mais atraentes,Combustível de qualidade,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Preço,Diariamente,Economia,Ruim
Luiza Cunha,Feminino,41,Araújo,MG,Viúvo(a),Ensino Superior Completo,"R$ 6.628,89",Caminhão,Diesel,4872,Maior facilidade de uso,Limpeza e organização,Serviços adicionais,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Raramente,Preço,Diariamente,Indicação,Excelente
Sr. Vinicius Caldeira,Feminino,50,da Conceição,SE,Casado(a),Ensino Médio Incompleto,"R$ 2.768,56",Caminhão,Diesel,2056,Ofertas mais atraentes,Limpeza e organização,Qualidade do combustível,Programa de fidelidade,"Importante, mas não influencia minha escolha",Semanalmente,Preço,Mensalmente,Vantagens,Excelente
Catarina Duarte,Feminino,66,Cardoso de Goiás,PA,Viúvo(a),Ensino Médio Completo,"R$ 2.226,43",Ônibus,Diesel,739,Mais funcionalidades,Combustível de qualidade,Localização,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Formas de Pagamento,Semanalmente,Economia,Ruim
Vinicius Dias,Feminino,69,Cardoso,MG,Viúvo(a),Ensino Médio Incompleto,"R$ 5.791,08",Ônibus,Diesel,535,Mais funcionalidades,Limpeza e organização,Localização,Postos mais modernos,Importante e influencia minha escolha,Diariamente,Promoções e Descontos,Raramente,Indicação,Bom
Dr. Nicolas Santos,Masculino,30,Monteiro de Gomes,AP,Solteiro(a),Ensino Médio Incompleto,"R$ 1.633,58",Caminhão,Diesel,719,Ofertas mais atraentes,Limpeza e organização,Serviços adicionais,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Preço,Diariamente,Ambiental,Ótimo
Sr. Danilo Moraes,Feminino,50,Cavalcanti Alegre,BA,Casado(a),Pós-graduação,"R$ 7.545,86",Caminhão,Diesel,4352,Maior facilidade de uso,Combustível de qualidade,Serviços adicionais,Postos mais modernos,"Importante, mas não influencia minha escolha",Semanalmente,Serviços Oferecidos,Raramente,Facilidade,Bom
Srta. Júlia Pereira,Masculino,64,Oliveira Paulista,SE,Solteiro(a),Ensino Médio Incompleto,"R$ 6.147,26",Carro,Álcool,2429,Ofertas mais atraentes,Atendimento ao cliente,Localização,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Promoções e Descontos,Semanalmente,Ambiental,Ótimo
Manuela Vieira,Masculino,33,Nascimento de Souza,GO,Solteiro(a),Ensino Médio Incompleto,"R$ 6.590,52",Moto,Gasolina,2029,Mais funcionalidades,Atendimento ao cliente,Qualidade do combustível,Programa de fidelidade,Não considero importante,Mensalmente,Formas de Pagamento,Mensalmente,Economia,Ótimo
Levi Fernandes,Masculino,44,Moura,MT,Divorciado(a),Ensino Superior Incompleto,"R$ 5.973,79",Carro,Álcool,849,Mais funcionalidades,Limpeza e organização,Qualidade do combustível,Postos mais modernos,Importante e influencia minha escolha,Semanalmente,Promoções e Descontos,Semanalmente,Indicação,Bom
Sr. Joaquim Melo,Masculino,25,da Cunha,AP,Solteiro(a),Pós-graduação,"R$ 2.580,17",Ônibus,Diesel,2588,Mais funcionalidades,Segurança,Preço,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Mensalmente,Promoções e Descontos,Semanalmente,Indicação,Excelente
Enzo Gabriel Silva,Feminino,80,Barros,RO,Casado(a),Ensino Superior Incompleto,"R$ 8.997,95",Ônibus,Diesel,3785,Maior facilidade de uso,Segurança,Localização,Programa de fidelidade,Importante e influencia minha escolha,Diariamente,Formas de Pagamento,Raramente,Economia,Ruim
Fernando Lima,Feminino,45,Souza,PB,Divorciado(a),Ensino Médio Incompleto,"R$ 6.672,33",Ônibus,Diesel,1200,Ofertas mais atraentes,Segurança,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Não considero importante,Raramente,Localização,Mensalmente,Indicação,Excelente
Caroline Rezende,Feminino,19,da Mata de Dias,MA,Divorciado(a),Ensino Médio Incompleto,"R$ 9.475,33",Ônibus,Diesel,1687,Design do aplicativo,Combustível de qualidade,Preço,Mais opções de pagamento,Importante e influencia minha escolha,Semanalmente,Serviços Oferecidos,Raramente,Indicação,Bom
Camila Araújo,Masculino,21,da Mata,AM,Casado(a),Ensino Médio Completo,"R$ 3.879,48",Caminhão,Diesel,1440,Ofertas mais atraentes,Limpeza e organização,Localização,Postos mais modernos,Importante e influencia minha escolha,Semanalmente,Serviços Oferecidos,Semanalmente,Economia,Excelente
Murilo da Costa,Feminino,61,da Conceição de Goiás,PE,Casado(a),Ensino Médio Incompleto,"R$ 9.460,93",Ônibus,Diesel,4983,Design do aplicativo,Atendimento ao cliente,Preço,Mais opções de pagamento,Não considero importante,Mensalmente,Preço,Diariamente,Economia,Ruim
Joaquim Ferreira,Feminino,22,Araújo de Goiás,AM,Solteiro(a),Ensino Médio Completo,"R$ 3.733,66",Camionete,Diesel,1211,Design do aplicativo,Atendimento ao cliente,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Semanalmente,Preço,Diariamente,Ambiental,Ótimo
Luana Porto,Feminino,24,Moura do Campo,MA,Viúvo(a),Ensino Superior Completo,"R$ 2.973,79",Moto,Gasolina,117,Design do aplicativo,Combustível de qualidade,Qualidade do combustível,Postos mais modernos,Importante e influencia minha escolha,Mensalmente,Localização,Raramente,Ambiental,Bom
Sr. Leonardo Silveira,Masculino,38,Sales de da Mata,AC,Viúvo(a),Pós-graduação,"R$ 3.937,12",Carro,GNV,4410,Ofertas mais atraentes,Atendimento ao cliente,Serviços adicionais,Mais opções de pagamento,Importante e influencia minha escolha,Raramente,Formas de Pagamento,Diariamente,Economia,Bom
Eduardo Pinto,Masculino,53,Aragão do Campo,MT,Casado(a),Ensino Superior Completo,"R$ 4.252,89",Caminhão,Diesel,2337,Ofertas mais atraentes,Limpeza e organização,Localização,Programa de fidelidade,Não considero importante,Diariamente,Formas de Pagamento,Mensalmente,Vantagens,Excelente
Pedro Miguel Nogueira,Masculino,76,Silva de da Mata,TO,Divorciado(a),Ensino Médio Incompleto,"R$ 4.860,97",Caminhão,Diesel,3576,Ofertas mais atraentes,Combustível de qualidade,Localização,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Semanalmente,Qualidade Combustível,Mensalmente,Vantagens,Ótimo
André Duarte,Masculino,70,Almeida,SP,Solteiro(a),Ensino Médio Incompleto,"R$ 4.620,34",Caminhão,Diesel,853,Mais funcionalidades,Segurança,Serviços adicionais,Programa de fidelidade,Não considero importante,Semanalmente,Formas de Pagamento,Mensalmente,Vantagens,Ruim
Beatriz Barbosa,Masculino,62,da Conceição,PI,Divorciado(a),Ensino Médio Incompleto,"R$ 8.957,51",Carro,GNV,4932,Maior facilidade de uso,Segurança,Preço,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Diariamente,Preço,Raramente,Indicação,Excelente
Maysa Rodrigues,Masculino,39,Sales da Praia,BA,Casado(a),Ensino Médio Incompleto,"R$ 6.289,45",Caminhão,Diesel,1657,Ofertas mais atraentes,Limpeza e organização,Localização,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Raramente,Qualidade Combustível,Raramente,Ambiental,Ruim
Dra. Maria Clara da Conceição,Masculino,48,Cardoso,MS,Casado(a),Ensino Médio Completo,"R$ 9.275,16",Caminhão,Diesel,3670,Design do aplicativo,Atendimento ao cliente,Preço,Programa de fidelidade,"Importante, mas não influencia minha escolha",Mensalmente,Localização,Semanalmente,Ambiental,Bom
Olivia Barros,Feminino,48,da Cruz dos Dourados,AL,Solteiro(a),Pós-graduação,"R$ 8.816,09",Caminhão,Diesel,4723,Mais funcionalidades,Segurança,Localização,Mais opções de pagamento,Importante e influencia minha escolha,Semanalmente,Promoções e Descontos,Diariamente,Ambiental,Excelente
Mariane Ferreira,Feminino,19,Caldeira,PE,Casado(a),Ensino Superior Completo,"R$ 2.749,29",Moto,Gasolina,4037,Mais funcionalidades,Atendimento ao cliente,Qualidade do combustível,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Qualidade Combustível,Diariamente,Ambiental,Excelente
Enrico da Mata,Feminino,75,Cardoso,SP,Casado(a),Ensino Superior Completo,"R$ 8.426,29",Caminhão,Diesel,2421,Mais funcionalidades,Combustível de qualidade,Localização,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Promoções e Descontos,Mensalmente,Indicação,Bom
Dra. Giovanna Pereira,Feminino,20,Lima,PI,Divorciado(a),Ensino Médio Incompleto,"R$ 4.558,01",Carro,Álcool,1442,Mais funcionalidades,Segurança,Preço,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Raramente,Preço,Semanalmente,Economia,Excelente
Sabrina Moraes,Masculino,44,Vieira,MA,Viúvo(a),Ensino Médio Completo,"R$ 7.504,70",Ônibus,Diesel,4948,Mais funcionalidades,Atendimento ao cliente,Preço,Programa de fidelidade,"Importante, mas não influencia minha escolha",Mensalmente,Localização,Raramente,Facilidade,Ruim
Alice Peixoto,Feminino,25,Campos,GO,Divorciado(a),Ensino Médio Completo,"R$ 3.794,17",Moto,Gasolina,4811,Mais funcionalidades,Combustível de qualidade,Preço,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Qualidade Combustível,Mensalmente,Ambiental,Bom
Ana Carolina Correia,Masculino,67,Pires dos Dourados,SE,Solteiro(a),Ensino Superior Completo,"R$ 9.820,87",Carro,Álcool,2656,Mais funcionalidades,Atendimento ao cliente,Qualidade do combustível,Postos mais modernos,"Importante, mas não influencia minha escolha",Semanalmente,Qualidade Combustível,Raramente,Ambiental,Bom
Matheus Campos,Feminino,18,Freitas da Praia,MT,Solteiro(a),Pós-graduação,"R$ 4.772,84",Moto,Gasolina,379,Maior facilidade de uso,Atendimento ao cliente,Qualidade do combustível,Programa de fidelidade,Importante e influencia minha escolha,Mensalmente,Formas de Pagamento,Mensalmente,Vantagens,Ruim
Rafaela Duarte,Masculino,43,Cardoso de Gonçalves,AC,Solteiro(a),Ensino Médio Completo,"R$ 9.262,22",Carro,GNV,2458,Maior facilidade de uso,Atendimento ao cliente,Preço,Mais opções de pagamento,Importante e influencia minha escolha,Semanalmente,Localização,Semanalmente,Economia,Excelente
Luna Nogueira,Feminino,20,Moraes do Campo,MG,Viúvo(a),Ensino Superior Incompleto,"R$ 2.643,12",Camionete,Diesel,4644,Maior facilidade de uso,Combustível de qualidade,Localização,Postos mais modernos,Importante e influencia minha escolha,Raramente,Serviços Oferecidos,Semanalmente,Indicação,Excelente
Luiz Fernando Gonçalves,Masculino,64,Moraes de Dias,MG,Casado(a),Pós-graduação,"R$ 5.568,93",Ônibus,Diesel,776,Mais funcionalidades,Segurança,Serviços adicionais,Postos mais modernos,"Importante, mas não influencia minha escolha",Raramente,Qualidade Combustível,Mensalmente,Facilidade,Excelente
Emilly Peixoto,Masculino,45,Moreira,MA,Divorciado(a),Pós-graduação,"R$ 4.437,24",Caminhão,Diesel,36,Mais funcionalidades,Combustível de qualidade,Preço,Mais opções de pagamento,Não considero importante,Diariamente,Promoções e Descontos,Semanalmente,Facilidade,Bom
Pedro Fogaça,Feminino,53,Teixeira Grande,AL,Viúvo(a),Ensino Superior Incompleto,"R$ 7.383,44",Caminhão,Diesel,1576,Mais funcionalidades,Combustível de qualidade,Localização,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Localização,Raramente,Ambiental,Bom
Vitor Hugo da Rosa,Feminino,30,Fernandes,PI,Divorciado(a),Pós-graduação,"R$ 2.308,47",Carro,Gasolina,2623,Design do aplicativo,Atendimento ao cliente,Preço,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Diariamente,Promoções e Descontos,Mensalmente,Facilidade,Ruim
Ana Sophia Nunes,Masculino,44,da Costa,TO,Viúvo(a),Pós-graduação,"R$ 2.394,22",Carro,Gasolina,4956,Maior facilidade de uso,Atendimento ao cliente,Qualidade do combustível,Programa de fidelidade,Não considero importante,Mensalmente,Localização,Mensalmente,Indicação,Ótimo
Sra. Yasmin Caldeira,Feminino,38,Lopes,PI,Solteiro(a),Pós-graduação,"R$ 5.436,84",Ônibus,Diesel,3753,Ofertas mais atraentes,Combustível de qualidade,Localização,Programa de fidelidade,"Importante, mas não influencia minha escolha",Mensalmente,Promoções e Descontos,Semanalmente,Facilidade,Bom
Thales Melo,Masculino,33,Araújo das Flores,PB,Solteiro(a),Ensino Médio Completo,"R$ 6.647,39",Moto,Gasolina,2440,Maior facilidade de uso,Limpeza e organização,Localização,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Qualidade Combustível,Raramente,Vantagens,Ruim
Thomas Dias,Masculino,44,Ramos de Lima,SP,Divorciado(a),Ensino Médio Incompleto,"R$ 6.228,66",Caminhão,Diesel,1205,Maior facilidade de uso,Atendimento ao cliente,Preço,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Semanalmente,Promoções e Descontos,Semanalmente,Ambiental,Excelente
Davi Castro,Masculino,28,Teixeira das Pedras,CE,Viúvo(a),Ensino Superior Completo,"R$ 3.528,13",Caminhão,Diesel,2371,Design do aplicativo,Combustível de qualidade,Serviços adicionais,Programa de fidelidade,Não considero importante,Mensalmente,Serviços Oferecidos,Raramente,Economia,Ruim
Emilly Monteiro,Feminino,72,Nascimento,TO,Casado(a),Ensino Superior Incompleto,"R$ 4.648,62",Moto,Gasolina,4272,Mais funcionalidades,Limpeza e organização,Preço,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Qualidade Combustível,Semanalmente,Ambiental,Bom
Alexia Cavalcanti,Feminino,66,Moreira do Norte,DF,Viúvo(a),Ensino Médio Completo,"R$ 8.296,77",Moto,Gasolina,4754,Ofertas mais atraentes,Combustível de qualidade,Preço,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Formas de Pagamento,Diariamente,Vantagens,Ruim
Danilo Viana,Masculino,19,Castro das Pedras,RJ,Casado(a),Ensino Superior Completo,"R$ 5.737,62",Caminhão,Diesel,63,Design do aplicativo,Atendimento ao cliente,Qualidade do combustível,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Mensalmente,Localização,Diariamente,Indicação,Ruim
Maria Clara Cardoso,Feminino,59,Azevedo,PI,Viúvo(a),Ensino Superior Completo,"R$ 4.441,71",Ônibus,Diesel,4942,Mais funcionalidades,Limpeza e organização,Preço,Postos mais modernos,Não considero importante,Semanalmente,Preço,Raramente,Ambiental,Excelente
Ana Clara Silva,Masculino,30,Correia de Almeida,MA,Casado(a),Pós-graduação,"R$ 6.252,31",Moto,Gasolina,449,Mais funcionalidades,Segurança,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Diariamente,Localização,Diariamente,Facilidade,Ótimo
Daniel Alves,Feminino,44,Souza,PE,Casado(a),Ensino Médio Incompleto,"R$ 5.837,03",Caminhão,Diesel,3105,Design do aplicativo,Combustível de qualidade,Serviços adicionais,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Raramente,Qualidade Combustível,Mensalmente,Economia,Ruim
Sr. Gabriel Nogueira,Masculino,21,Sales do Galho,TO,Divorciado(a),Ensino Superior Completo,"R$ 6.075,04",Caminhão,Diesel,3445,Mais funcionalidades,Atendimento ao cliente,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Preço,Diariamente,Vantagens,Bom
Nicolas Almeida,Masculino,65,Melo,SC,Viúvo(a),Pós-graduação,"R$ 9.944,91",Moto,Gasolina,865,Maior facilidade de uso,Segurança,Serviços adicionais,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Mensalmente,Formas de Pagamento,Semanalmente,Indicação,Excelente
Guilherme Silveira,Feminino,61,Sales,SC,Divorciado(a),Ensino Médio Incompleto,"R$ 2.812,78",Moto,Gasolina,1532,Design do aplicativo,Segurança,Qualidade do combustível,Mais opções de pagamento,Não considero importante,Semanalmente,Serviços Oferecidos,Diariamente,Facilidade,Ruim
Murilo Cardoso,Masculino,60,da Mata da Praia,SC,Casado(a),Ensino Superior Completo,"R$ 3.583,57",Moto,Gasolina,480,Design do aplicativo,Segurança,Preço,Melhorias no ambiente de loja de conveniência,Não considero importante,Diariamente,Qualidade Combustível,Semanalmente,Indicação,Bom
Sarah Caldeira,Feminino,53,da Costa do Galho,AP,Divorciado(a),Ensino Médio Incompleto,"R$ 1.939,27",Caminhão,Diesel,2841,Maior facilidade de uso,Segurança,Qualidade do combustível,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Semanalmente,Qualidade Combustível,Mensalmente,Economia,Ruim
João Gabriel Cavalcanti,Masculino,23,Silveira do Galho,PI,Divorciado(a),Ensino Superior Completo,"R$ 3.438,28",Ônibus,Diesel,1313,Mais funcionalidades,Combustível de qualidade,Serviços adicionais,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Preço,Diariamente,Indicação,Bom
João Vitor Costela,Masculino,18,Rezende,RN,Solteiro(a),Pós-graduação,"R$ 3.126,55",Carro,Álcool,2728,Mais funcionalidades,Atendimento ao cliente,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Mensalmente,Formas de Pagamento,Mensalmente,Economia,Ruim
Ana Clara Martins,Feminino,47,Monteiro de da Cunha,RO,Divorciado(a),Ensino Médio Incompleto,"R$ 4.448,86",Ônibus,Diesel,3286,Ofertas mais atraentes,Atendimento ao cliente,Preço,Melhorias no ambiente de loja de conveniência,Não considero importante,Diariamente,Preço,Raramente,Ambiental,Bom
Sr. Anthony Nunes,Feminino,71,Campos Alegre,PI,Viúvo(a),Ensino Médio Completo,"R$ 8.448,85",Moto,Gasolina,4630,Mais funcionalidades,Segurança,Localização,Mais opções de pagamento,Não considero importante,Semanalmente,Localização,Mensalmente,Indicação,Ruim
Ana Clara Monteiro,Feminino,67,Sales,TO,Divorciado(a),Ensino Médio Completo,"R$ 1.925,59",Moto,Gasolina,4408,Mais funcionalidades,Limpeza e organização,Qualidade do combustível,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Formas de Pagamento,Diariamente,Indicação,Excelente
Dra. Catarina Pinto,Masculino,43,Ramos de da Costa,RR,Solteiro(a),Pós-graduação,"R$ 5.394,28",Ônibus,Diesel,2239,Design do aplicativo,Combustível de qualidade,Serviços adicionais,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Promoções e Descontos,Mensalmente,Vantagens,Excelente
Enzo Gabriel Pinto,Feminino,72,Vieira,SC,Viúvo(a),Ensino Superior Completo,"R$ 9.274,86",Camionete,Diesel,1518,Maior facilidade de uso,Atendimento ao cliente,Serviços adicionais,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Raramente,Promoções e Descontos,Diariamente,Economia,Ruim
Stephany Melo,Masculino,26,Cardoso do Campo,TO,Casado(a),Ensino Superior Completo,"R$ 6.094,48",Moto,Gasolina,4066,Maior facilidade de uso,Atendimento ao cliente,Localização,Programa de fidelidade,"Importante, mas não influencia minha escolha",Diariamente,Promoções e Descontos,Mensalmente,Facilidade,Ruim
Rafaela Monteiro,Masculino,37,Nunes,PB,Casado(a),Ensino Superior Incompleto,"R$ 5.172,75",Moto,Gasolina,2954,Ofertas mais atraentes,Atendimento ao cliente,Preço,Programa de fidelidade,"Importante, mas não influencia minha escolha",Mensalmente,Formas de Pagamento,Mensalmente,Ambiental,Bom
Rafaela Melo,Feminino,67,Cavalcanti da Praia,AL,Solteiro(a),Ensino Superior Incompleto,"R$ 4.815,95",Ônibus,Diesel,1678,Maior facilidade de uso,Limpeza e organização,Preço,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Mensalmente,Promoções e Descontos,Diariamente,Facilidade,Ruim
Sarah Caldeira,Feminino,31,Moura de Goiás,PA,Casado(a),Ensino Médio Incompleto,"R$ 2.730,80",Moto,Gasolina,1562,Maior facilidade de uso,Segurança,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Não considero importante,Mensalmente,Promoções e Descontos,Diariamente,Indicação,Ótimo
Esther Nascimento,Masculino,47,da Costa,SP,Viúvo(a),Pós-graduação,"R$ 6.401,94",Moto,Gasolina,4560,Design do aplicativo,Limpeza e organização,Preço,Postos mais modernos,Importante e influencia minha escolha,Diariamente,Promoções e Descontos,Mensalmente,Vantagens,Ótimo
Benício Farias,Feminino,44,Nascimento,SP,Solteiro(a),Ensino Superior Completo,"R$ 7.348,26",Caminhão,Diesel,2464,Ofertas mais atraentes,Atendimento ao cliente,Preço,Mais opções de pagamento,Importante e influencia minha escolha,Diariamente,Preço,Mensalmente,Facilidade,Ruim
Caio Viana,Masculino,32,Costela,MA,Viúvo(a),Ensino Médio Incompleto,"R$ 3.305,32",Caminhão,Diesel,4860,Mais funcionalidades,Atendimento ao cliente,Preço,Programa de fidelidade,"Importante, mas não influencia minha escolha",Diariamente,Serviços Oferecidos,Semanalmente,Vantagens,Ruim
Beatriz Araújo,Feminino,77,Barros,RO,Casado(a),Pós-graduação,"R$ 8.649,60",Caminhão,Diesel,2530,Design do aplicativo,Limpeza e organização,Serviços adicionais,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Raramente,Formas de Pagamento,Semanalmente,Facilidade,Ótimo
Benício Jesus,Feminino,25,Viana,MG,Divorciado(a),Ensino Médio Completo,"R$ 2.428,61",Ônibus,Diesel,555,Maior facilidade de uso,Segurança,Localização,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Formas de Pagamento,Semanalmente,Ambiental,Excelente
Sr. Bryan Campos,Masculino,58,Santos Grande,RO,Casado(a),Ensino Médio Completo,"R$ 9.624,77",Caminhão,Diesel,4225,Design do aplicativo,Limpeza e organização,Qualidade do combustível,Mais opções de pagamento,Não considero importante,Mensalmente,Formas de Pagamento,Semanalmente,Facilidade,Excelente
Ryan Almeida,Feminino,79,Novaes de Souza,PB,Viúvo(a),Ensino Superior Completo,"R$ 2.571,04",Caminhão,Diesel,2962,Ofertas mais atraentes,Atendimento ao cliente,Localização,Programa de fidelidade,"Importante, mas não influencia minha escolha",Mensalmente,Serviços Oferecidos,Raramente,Indicação,Ótimo
Maria Julia Gomes,Feminino,77,Dias do Galho,PR,Casado(a),Ensino Médio Completo,"R$ 6.928,04",Caminhão,Diesel,1895,Mais funcionalidades,Limpeza e organização,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Raramente,Preço,Raramente,Indicação,Excelente
Isis Silva,Masculino,58,Gonçalves do Norte,AM,Divorciado(a),Ensino Superior Incompleto,"R$ 1.805,69",Carro,Álcool,1081,Design do aplicativo,Atendimento ao cliente,Preço,Programa de fidelidade,Importante e influencia minha escolha,Diariamente,Localização,Raramente,Indicação,Bom
