"pessoa
nome","pessoa
idade","pessoa
genero","pessoa
etinia","pessoa
pcd","pessoa
estado civil","pessoa
escolaridade","pessoa
cidade","pessoa
estado ","pessoa
renda","veiculo
tipo","veiculo
combustivel","veiculo
km_mes","veiculo
abastecimento"
Ana Lívia Fogaça,37,Feminino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Básico Completo,Piracicaba,SP,"R$ 2.708,81",Moto,Gasolina,3741,Semanal
Ana Lívia Gonçalves,29,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 9.817,18",Carro,GNV,4195,Mensal
Ana Lívia Moreira,38,Feminino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Médio Incompleto,Nova Iguaçu,RJ,"R$ 8.231,56",Moto,Gasolina,2616,Mensal
Ana Lívia Nunes,50,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 2.028,87",Ônibus,Diesel,219,Diária
Ana Lívia Rodrigues,49,Feminino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Médio Completo,São João de Meriti,RJ,"R$ 9.140,89",Caminhão,Diesel,600,Diária
Ana Lívia Sales,78,Feminino Cisgênero,Indígena,Não,Solteiro(a),Ensino Superior Incompleto,Caruaru,PE,"R$ 4.614,34",Carro,Álcool,235,Semanal
Ana Luiza Barbosa,49,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Completo,Caxias do Sul,RS,"R$ 5.247,47",Ônibus,Diesel,4915,Mensal
Ana Luiza Fogaça,68,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Caruaru,PE,"R$ 4.535,26",Caminhão,Diesel,2822,Mensal
Ana Luiza Freitas,53,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Uberlândia,MG,"R$ 6.266,85",Carro,Gasolina,2583,Diária
Ana Luiza Moreira,77,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Franca,SP,"R$ 3.706,60",Caminhão,Diesel,2789,Semanal
Ana Luiza Pereira,59,Feminino Cisgênero,Preto(a),Sim,Casado(a),Pós-graduação,Curitiba,PR,"R$ 3.392,82",Ônibus,Diesel,2341,Semanal
Ana Sophia Aragão,75,Feminino Cisgênero,Indígena,Não,Casado(a),Pós-graduação,Maringá,PR,"R$ 9.803,30",Caminhonete,Diesel,2952,Mensal
Ana Sophia da Mata,64,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Completo,Vila Velha,ES,"R$ 4.203,96",Caminhão,Diesel,2359,Diária
Ana Sophia Duarte,76,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Vitória,ES,"R$ 4.286,39",Caminhão,Diesel,4323,Diária
Ana Sophia Nunes,44,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Completo,Campo Grande,MS,"R$ 2.394,22",Carro,Gasolina,4956,Mensal
Ana Vitória Costela,19,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Pós-graduação,Franca,SP,"R$ 8.663,88",Caminhão,Diesel,4499,Mensal
Ana Vitória da Cunha,20,Outros,Preto(a),Sim,Casado(a),Ensino Superior Completo,Franca,SP,"R$ 5.547,49",Carro,Gasolina,2779,Diária
Ana Vitória Duarte,26,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 7.836,11",Ônibus,Diesel,3754,Quinzenal
André da Conceição,44,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,Curitiba,PR,"R$ 7.133,69",Moto,Gasolina,2104,Mensal
André da Cruz,20,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,São José do Rio Preto,SP,"R$ 5.904,78",Moto,Gasolina,793,Eventual
André da Mata,43,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Franca,SP,"R$ 9.383,82",Carro,GNV,3058,Semanal
André Duarte,70,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Natal,RN,"R$ 4.620,34",Caminhão,Diesel,853,Eventual
André Lopes,33,Masculino Cisgênero,Indígena,Não,Viúvo(a),Ensino Básico Incompleto,Montes Claros,MG,"R$ 1.823,72",Caminhão,Diesel,769,Quinzenal
André Martins,70,Masculino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Superior Incompleto,Natal,RN,"R$ 9.330,25",Moto,Gasolina,2324,Quinzenal
André Mendes,23,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Básico Incompleto,Rio de Janeiro,AL,"R$ 2.090,88",Carro,GNV,3174,Semanal
André Pires,79,Masculino Cisgênero,Amarelo(a),Sim,Viúvo(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 6.832,68",Moto,Gasolina,34,Semanal
Anthony Aragão,32,Masculino Cisgênero,Indígena,Não,Viúvo(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 4.314,26",Caminhão,Diesel,1331,Quinzenal
Anthony da Paz,64,Masculino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 8.257,32",Carro,Álcool,1168,Mensal
Anthony da Rosa,43,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 3.613,90",Ônibus,Diesel,2891,Quinzenal
Anthony Nunes,71,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Completo,Goiânia,GO,"R$ 8.448,85",Moto,Gasolina,4630,Semanal
Anthony Pinto,29,Outros,Pardo(a),Não,Divorciado(a),Ensino Médio Incompleto,Governador Valadares,MG,"R$ 4.443,46",Moto,Gasolina,1508,Diária
Anthony Rocha,34,Masculino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Vitória,ES,"R$ 7.385,84",Ônibus,Diesel,4355,Mensal
Anthony Viana,70,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Incompleto,Montes Claros,MG,"R$ 2.225,96",Carro,Gasolina,1360,Semanal
Antônio Silva,79,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Médio Completo,Nova Iguaçu,RJ,"R$ 7.592,89",Caminhão,Diesel,2137,Eventual
Arthur da Mata,40,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Recife,PE,"R$ 2.917,67",Caminhonete,Diesel,50,Semanal
Arthur Silveira,32,Masculino Transgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 2.786,63",Carro,Álcool,4311,Mensal
Augusto Fernandes,64,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Pós-graduação,São Paulo,SP,"R$ 7.793,56",Moto,Gasolina,3038,Diária
Augusto Fogaça,46,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Incompleto,Maringá,PR,"R$ 2.456,90",Carro,Álcool,4054,Diária
Augusto Mendes,63,Masculino Cisgênero,Amarelo(a),Sim,Casado(a),Ensino Superior Incompleto,São João de Meriti,RJ,"R$ 7.846,92",Caminhão,Diesel,2907,Semanal
Augusto Pinto,57,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 9.990,34",Carro,Álcool,3856,Quinzenal
Augusto Rocha,50,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 9.340,32",Moto,Gasolina,3703,Quinzenal
Augusto Santos,62,Masculino Cisgênero,Indígena,Não,Solteiro(a),Ensino Básico Completo,São José do Rio Preto,SP,"R$ 2.738,22",Carro,Álcool,3979,Quinzenal
Bárbara Alves,39, Feminino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Incompleto,Duque de Caxias,RJ,"R$ 9.149,96",Caminhão,Diesel,113,Mensal
Bárbara Jesus,40, Feminino Transgênero,Preto(a),Não,Divorciado(a),Ensino Básico Incompleto,Salvador,BA,"R$ 3.746,95",Ônibus,Diesel,4772,Quinzenal
Bárbara Oliveira,60, Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,Campo Grande,MS,"R$ 5.851,49",Caminhão,Diesel,3817,Semanal
Bárbara Silva,25,Feminino Transgênero,Branco(a),Não,Viúvo(a),Ensino Médio Completo,Caruaru,PE,"R$ 6.315,73",Carro,GNV,3455,Quinzenal
Bárbara Vieira,50, Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Completo,Palmas,TO,"R$ 8.062,44",Ônibus,Diesel,1403,Semanal
Beatriz Almeida,53, Feminino Cisgênero,Amarelo(a),Sim,Divorciado(a),Ensino Básico Incompleto,Recife,PE,"R$ 1.786,84",Ônibus,Diesel,915,Diária
Beatriz Almeida,43, Feminino Cisgênero,Indígena,Não,Solteiro(a),Ensino Superior Completo,São José do Rio Preto,SP,"R$ 7.840,04",Caminhão,Diesel,1594,Semanal
Beatriz Araújo,77, Feminino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Santos,SP,"R$ 8.649,60",Caminhão,Diesel,2530,Quinzenal
Beatriz Barbosa,62, Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Médio Incompleto,Maringá,PR,"R$ 8.957,51",Carro,GNV,4932,Diária
Beatriz da Rosa,38,Feminino Cisgênero,Indígena,Não,Viúvo(a),Ensino Superior Completo,Governador Valadares,MG,"R$ 7.933,31",Ônibus,Diesel,4017,Mensal
Beatriz Gomes,61, Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Básico Incompleto,Campo Grande,MS,"R$ 3.448,51",Carro,GNV,3844,Semanal
Beatriz Silva,48, Feminino Cisgênero,Branco(a),Não,Divorciado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 8.891,88",Ônibus,Diesel,1092,Semanal
Benício Aragão,18,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Completo,Nova Iguaçu,RJ,"R$ 4.113,00",Caminhão,Diesel,1800,Mensal
Benício Cardoso,40,Masculino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Superior Completo,Santos,SP,"R$ 7.637,21",Moto,Gasolina,737,Mensal
Benício Farias,44,Masculino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Superior Completo,Salvador,BA,"R$ 7.348,26",Caminhão,Diesel,2464,Diária
Benício Jesus,25,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Completo,Governador Valadares,MG,"R$ 2.428,61",Ônibus,Diesel,555,Semanal
Benício Santos,77,Masculino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Médio Completo,Governador Valadares,MG,"R$ 8.879,24",Caminhão,Diesel,4462,Diária
Benjamin Pinto,67,Masculino Cisgênero,Pardo(a),Sim,Viúvo(a),Ensino Médio Incompleto,São Luís,CE,"R$ 9.527,83",Moto,Gasolina,687,Diária
Bernardo Martins,31,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Belo Horizonte,SC,"R$ 5.906,08",Ônibus,Diesel,1159,Quinzenal
Bernardo Oliveira,52,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,Duque de Caxias,RJ,"R$ 1.916,79",Caminhonete,Diesel,2970,Eventual
Bernardo Peixoto,28,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Médio Incompleto,Palmas,TO,"R$ 3.807,65",Caminhão,Diesel,3495,Mensal
Bianca Caldeira,53,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Básico Completo,São José do Campos,SP,"R$ 1.644,59",Caminhão,Diesel,1495,Diária
Bianca da Cunha,76,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,São João de Meriti,RJ,"R$ 1.812,38",Ônibus,Diesel,3595,Diária
Bianca Gomes,38,Feminino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Básico Completo,Recife,PE,"R$ 1.403,04",Carro,Gasolina,4109,Diária
Bianca Lima,39,Feminino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Incompleto,Rio Branco ,AC,"R$ 7.228,34",Ônibus,Diesel,2161,Mensal
Bianca Novaes,37,Feminino Transgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,Bauru,SP,"R$ 8.384,70",Carro,GNV,888,Quinzenal
Bianca Pires,53,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,São José do Rio Preto,SP,"R$ 3.703,97",Moto,Gasolina,4070,Semanal
Bianca Rosa,30,Feminino Transgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Florianópolis,SC,"R$ 8.350,27",Caminhão,Diesel,3296,Mensal
Bianca Teixeira,73,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 5.492,48",Caminhonete,Diesel,4723,Diária
Brenda Duarte,29,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Médio Completo,Vila Velha,ES,"R$ 7.804,50",Moto,Gasolina,3951,Mensal
Brenda Fernandes,24,Feminino Transgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 5.968,94",Ônibus,Diesel,3263,Mensal
Brenda Lopes,78,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,Fortaleza,CE,"R$ 9.154,90",Caminhonete,Diesel,3650,Diária
Brenda Martins,63,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Piracicaba,SP,"R$ 3.327,20",Carro,GNV,3801,Diária
Brenda Moreira,29,Feminino Cisgênero,Indígena,Não,Casado(a),Ensino Básico Completo,Goiânia,GO,"R$ 1.541,41",Caminhão,Diesel,2529,Quinzenal
Brenda Nogueira,27,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Uberlândia,MG,"R$ 5.624,53",Carro,Gasolina,3173,Mensal
Breno Almeida,69,Masculino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Belém do Pará,PA,"R$ 9.087,16",Caminhão,Diesel,4479,Quinzenal
Breno Campos,35,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Completo,Natal,RN,"R$ 2.119,11",Caminhonete,Diesel,1851,Mensal
Breno da Costa,27,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Superior Incompleto,Uberlândia,MG,"R$ 4.801,66",Caminhão,Diesel,305,Diária
Breno da Mata,40,Outros,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Manaus,AM,"R$ 9.636,01",Carro,Diesel,2324,Mensal
